id,name,visibility,is_corporate,is_external,categories
146384,RS Bua Skeppare,hidden,false,false,Undergrupp till Station
146385,RS Bua Besättning,hidden,false,false,Undergrupp till Station
146386,RS Bua Bilder o filmer,hidden,false,false,
146387,RS Bua Socialt,hidden,false,false,Undergrupp till Station
146407,RS Åhus Bilder och filmer,hidden,false,false,Undergrupp till Station
146693,Sandlåda - RS Siljan/Runn,hidden,false,false,Undergrupp till Station
146695,RS Växjö GC,hidden,false,false,
146696,RS Växjö jourgrupp 1,hidden,false,false,
146697,RS Växjö jourgrupp 2,hidden,false,false,
146698,RS Växjö jourgrupp 3,hidden,false,false,
146699,RS Växjö jourgrupp 4,hidden,false,false,
146700,"RS Växjö Bilder, Foton och andra trevligheter",hidden,false,false,
146701,RS Växjö Befälhavare,hidden,false,false,
146702,RS Växjö Teknik och service,hidden,false,false,
146704,RS Växjö Övningsgrupp,hidden,false,false,
146706,RS Växjö Mångfald,hidden,false,false,
146707,RS Växjö Marknad,hidden,false,false,
146708,RS Växjö Svävarpiloter,hidden,false,false,
146709,RS Växjö Studiegrupp maskin & fartygsbefäl,hidden,false,false,
146710,Rescue Snow,hidden,false,false,Undergrupp till Station
146711,Rescue Ruben Rausing,hidden,false,false,Undergrupp till Station
146732,Rapporter - Munsö/Ekerö,hidden,false,false,Undergrupp till Station
147389,Bild & Film Vadstena/Motala,hidden,false,false,Undergrupp till Station
147394,Rescue Oscar,hidden,false,false,
148050,Vintergrupp Vadstena/Motala,hidden,false,false,Undergrupp till Station
150117,RS Räfsnäs jourskeppare,hidden,false,false,Undergrupp till Station
150118,Stationshus 474-7910 Vadstena/Motala,hidden,false,false,Undergrupp till Station
150119,Befäl 474-7918 Vadstena/Motala,hidden,false,false,Undergrupp till Station
150120,Stig Kjellgren 474-2800,hidden,false,false,Undergrupp till Station
150121,Ivan Holmberg 474-3050,hidden,false,false,Undergrupp till Station
150122,Rescuerunner 474-9630,hidden,false,false,Undergrupp till Station
150123,Svävare 474-5610 & 474-5640,hidden,false,false,Undergrupp till Station
150124,Dragbil 474-8213,hidden,false,false,Undergrupp till Station
150125,Miljöräddningssläp 25,hidden,false,false,Undergrupp till Station
150126,Pant Vadstena/Motala,hidden,false,false,Undergrupp till Station
150134,Skeppare RS Arkösund,hidden,false,false,
150136,Sjuksköterskor RS Arkösund,hidden,false,false,
150153,Jourskeppare Kalmar,hidden,false,false,Undergrupp till Station
150154,Skeppare Kalmar,hidden,false,false,Undergrupp till Station
150155,Bunkergruppen Kalmar,hidden,false,false,
150420,Sociala Medier,hidden,false,false,Undergrupp till Station
150421,Frivilliga,hidden,false,false,Undergrupp till Station
150422,Underhållsgruppen,hidden,false,false,Undergrupp till Station
150423,Skeppare,hidden,false,false,Undergrupp till Station
150555,Stationsbåten,hidden,false,false,Undergrupp till Station
150556,RR-förare,hidden,false,false,Undergrupp till Station
150631,Arbetsgrupp BÅT,hidden,false,false,
150632,Arbetsgrupp BYGGNAD,hidden,false,false,Undergrupp till Station
150672,Stationshandledare Första Hjälpen SAR,hidden,false,false,
150674,RS Kristinehamn Ledningsgrupp,hidden,false,false,Undergrupp till Station
150675,RS Kristinehamn Skeppare,hidden,false,false,Undergrupp till Station
150676,Uppdrag & erfarenhetsutbyte,hidden,false,false,Undergrupp till Station
150690,Rescue Lillie,hidden,false,false,Undergrupp till Station
150691,RS Råå Stationshus,hidden,false,false,
151208,Samverkan Hanöbukten (Ystad-Hasslö),public,false,false,Samverkansgrupper
151209,Övning RS Arkösund,hidden,false,false,
151214,Allmänt,hidden,false,false,Undergrupp till Station
151217,Båtklasser,public,true,false,
151218,Båtklass 90E,hidden,false,false,Båtklasser
151219,Båtklass Emblad,public,false,false,Båtklasser
151220,Båtklass Miljöräddningssläp,public,false,false,Båtklasser
151221,Båtklass Gunnel Larson,public,false,false,Båtklasser
151222,Båtklass Rescuerunner,public,false,false,Båtklasser
151224,Båtklass Svävare,public,false,false,Båtklasser
151225,Båtklass Lars Bjerkander,public,false,false,Båtklasser
151226,Båtklass Victoria,public,false,false,Båtklasser
151227,Båtklass Hallberg Rassy,public,false,false,Båtklasser
151228,Stationshandledare Basic SAR,hidden,false,false,
151497,Ledningsgrupp,hidden,false,false,Undergrupp till Station
151499,Båtklass Öppen RIB,public,false,false,Båtklasser
151500,Transas Navi Sailor,public,false,false,
151502,Båtklass Postkodlotteriet,public,false,false,Båtklasser
151503,Samverkan Gotland,hidden,false,false,Samverkansgrupper
151504,Enheter RS Bergkvara,hidden,false,false,Undergrupp till Station
151505,RS Mariestad - Skeppargrupp,hidden,false,false,Undergrupp till Station
151506,RS Mariestad - Utbildningsgrupp,hidden,false,false,Undergrupp till Station
151507,RS Mariestad - Svävargrupp,hidden,false,false,Undergrupp till Station
151508,RS Mariestad - Bilder och filmer,hidden,false,false,Undergrupp till Station
151509,Elev RS Skellefteå,hidden,false,false,
151558,Aspiranter,hidden,false,false,Undergrupp till Station
151571,Båt,hidden,false,false,Undergrupp till Station
151572,Skeppare,hidden,false,false,
151573,Kommer på larm RS Höganäs,hidden,false,false,
151574,Basic SAR Core team,hidden,false,false,
151591,RS Rörös fina gäng,hidden,false,false,Undergrupp till Station
151592,SGS,hidden,false,false,Undergrupp till Station
151595,Samverkan RS Södertälje/RS Trosa,hidden,false,false,Samverkansgrupper
